Player	Team	Age	G	GS	CG	SHO	IP	H	ER	K	BB	HR	W	L	SV	BS	HLD	ERA	WHIP
Aaron Nola	PHI	30	7	7	0	0	43.1	35	16	40	15	7	4	1	0	0	0	3.32	1.15
Tyler Glasnow	LAD	30	7	7	0	0	43	28	13	53	12	4	5	1	0	0	0	2.72	0.93
Zack Wheeler	PHI	33	7	7	0	0	42.1	27	9	52	12	3	3	3	0	0	0	1.91	0.92
Dylan Cease	SD	28	7	7	0	0	42.1	20	12	48	14	2	4	2	0	0	0	2.55	0.8
Logan Webb	SF	27	7	7	0	0	42.1	45	14	30	10	1	3	2	0	0	0	2.98	1.3
Ranger Suarez	PHI	28	6	6	1	1	41	21	6	40	5	3	5	0	0	0	0	1.32	0.63
Joe Musgrove	SD	31	8	8	0	0	41	49	29	36	13	10	3	3	0	0	0	6.37	1.51
Hunter Greene	CIN	24	7	7	0	0	40.1	31	14	47	16	2	1	2	0	0	0	3.12	1.17
Martin Perez	PIT	33	7	7	0	0	40	42	14	31	13	2	1	2	0	0	0	3.15	1.38
Mitch Keller	PIT	28	7	7	0	0	40	44	23	39	15	5	2	3	0	0	0	5.18	1.48
Cal Quantrill	COL	29	7	7	0	0	39.2	37	19	26	14	6	1	3	0	0	0	4.31	1.29
Jordan Hicks	SF	27	7	7	0	0	38	25	8	30	14	1	2	1	0	0	0	1.89	1.03
Kyle Gibson	STL	36	6	6	0	0	38	29	16	29	14	6	2	2	0	0	0	3.79	1.13
Kyle Harrison	SF	22	7	7	0	0	38	39	16	38	10	5	2	1	0	0	0	3.79	1.29
Miles Mikolas	STL	35	7	7	0	0	38	46	24	29	7	7	2	4	0	0	0	5.68	1.39
Patrick Corbin	WSH	34	7	7	0	0	37.2	53	27	25	15	4	0	3	0	0	0	6.45	1.81
Chris Sale	ATL	35	6	6	0	0	36.2	28	14	42	7	4	4	1	0	0	0	3.44	0.95
Jose Quintana	NYM	35	7	7	0	0	36.1	40	21	25	16	3	1	3	0	0	0	5.2	1.54
Charlie Morton	ATL	40	6	6	0	0	36	28	14	33	13	3	2	0	0	0	0	3.5	1.14
Michael King	SD	28	7	6	0	0	36	32	20	40	21	10	2	3	0	0	0	5	1.47
Ryan Weathers	MIA	24	7	7	0	0	35.2	34	18	31	15	5	2	3	0	0	0	4.54	1.37
Luis Severino	NYM	30	6	6	0	0	35	26	9	31	11	2	2	2	0	0	0	2.31	1.06
Brandon Pfaadt	ARI	25	6	6	0	0	35	33	18	38	6	5	1	1	0	0	0	4.63	1.11
Shota Imanaga	CHC	30	6	6	0	0	34.2	22	3	35	4	2	5	0	0	0	0	0.78	0.75
Graham Ashcraft	CIN	26	6	6	0	0	34.2	35	14	30	9	5	3	1	0	0	0	3.63	1.27
Yoshinobu Yamamoto	LAD	25	7	7	0	0	34	29	11	42	8	3	3	1	0	0	0	2.91	1.09
Jared Jones	PIT	22	6	6	0	0	34	26	12	42	5	7	2	3	0	0	0	3.18	0.91
Keaton Winn	SF	26	6	6	0	0	34	23	12	28	10	3	3	3	0	0	0	3.18	0.97
Colin Rea	MIL	33	6	6	0	0	33.2	30	10	23	11	5	3	0	0	0	0	2.67	1.22
Freddy Peralta	MIL	27	6	6	0	0	33.2	20	12	45	9	4	3	0	0	0	0	3.21	0.86
Jake Irvin	WSH	27	6	6	0	0	33.2	33	16	26	7	3	2	2	0	0	0	4.28	1.19
Ryan Feltner	COL	27	6	6	0	0	33.1	39	19	33	10	4	1	2	0	0	0	5.13	1.47
Andrew Abbott	CIN	24	6	6	0	0	33	26	12	27	11	5	1	3	0	0	0	3.27	1.12
Spencer Turnbull	PHI	31	6	6	0	0	32.1	17	6	36	10	3	2	0	0	0	0	1.67	0.84
Javier Assad	CHC	26	6	6	0	0	32	23	7	27	9	2	2	0	0	0	0	1.97	1
Zac Gallen	ARI	28	6	6	0	0	32	30	12	35	9	4	3	2	0	0	0	3.38	1.22
Bailey Falter	PIT	27	6	6	0	0	32	23	15	23	7	5	2	2	0	0	0	4.22	0.94
Austin Gomber	COL	30	6	6	0	0	32	32	16	22	11	7	0	2	0	0	0	4.5	1.34
Trevor Williams	WSH	32	6	6	0	0	31.2	25	8	22	12	0	3	0	0	0	0	2.27	1.17
Max Fried	ATL	30	6	6	1	1	31.1	26	14	25	11	2	2	0	0	0	0	4.02	1.18
Trevor Rogers	MIA	26	6	6	0	0	31.1	35	15	27	12	2	0	4	0	0	0	4.31	1.5
MacKenzie Gore	WSH	25	6	6	0	0	31	33	11	38	9	2	2	3	0	0	0	3.19	1.35
Gavin Stone	LAD	25	6	6	0	0	31	29	14	23	13	2	2	1	0	0	0	4.06	1.35
Matt Waldron	SD	27	6	6	0	0	31	32	15	27	10	4	1	3	0	0	0	4.35	1.35
Joe Ross	MIL	30	6	6	0	0	31	36	16	27	12	3	1	3	0	0	0	4.65	1.55
